class	WAM	WAR	EPM	EPR
Acidobacteria_subdivision_6	0	0	2736	0
Acidobacteriia	0	0	1301	0
Aconoidasida	2616	2845	2063	0
Actinobacteria	192254	116805	249516	143404
Alphaproteobacteria	1843042	1432429	1940031	1833192
Bacilli	94895	91910	95848	159276
Bacteroidetes_Order_II_Incertae_sedis	644	0	0	0
Bacteroidia	24029	8140	27595	25905
BeAn_58058_virus	0	0	0	879
Betaproteobacteria	227371	109949	1282509	153877
Candidatus_Nitrosopelagicus	0	0	0	2472
Candidatus_Nitrosotenuis	0	0	3901	0
Chitinophagia	1043	0	7587	0
Chroococcales	0	0	1879	0
Chlorobia	687	0	0	0
Clostridia	58036	68116	61372	121607
Coriobacteriia	561	0	849	0
Cytophagia	48940	30578	43244	53182
Deinococci	3307	0	8310	0
Deltaproteobacteria	68576	34082	99151	44250
Epsilonproteobacteria	59313	45399	52389	86531
Flavobacteriia	301651	263856	312729	548672
Fusobacteriia	1145	4630	8666	25232
Gammaproteobacteria	981197	401382	1154995	974254
Gemmatimonadetes	0	0	3018	0
Malasseziomycetes	733	0	0	0
Mollicutes	13655	20676	17193	42352
Myoviridae	2659865	4058363	526467	2054910
Nitrosopumilales	4508	1263	0	1084
Nitrospira	0	0	2111	0
Nostocales	10164	12391	11567	19389
Opitutae	6438	0	17597	0
Oscillatoriales	0	23730	6267	25756
Planctomycetia	10000	1297	17340	2198
Podoviridae	106994	166564	23637	99075
Prasinovirus	0	936	0	0
Saccharomycetes	1021	1234	1803	0
Siphoviridae	59096	94155	13764	54898
Sordariomycetes	4664	0	0	0
Sphingobacteriia	12122	2330	17106	18645
Spirochaetia	1446	869	6973	12082
Synechococcales	5664121	8268336	2086469	10415684
Unknown_t_domain_Bacteria	77793	64627	84931	100250
Unknown_t_phylum_Bacteroidetes	4560	0	5820	0
Unknown_t_phylum_Cyanobacteria	953	0	1853	0
Unknown_t_phylum_Proteobacteria	68149	35843	99584	54694
Verrucomicrobia_bacterium	0	0	3118	0
