sample	total_reads	total_reads_mapped	num_SNVs_reported
EPM_12A1	7491227	3050433	38818
EPM_12A2	6677277	6759570	191626
EPM_12A3	9894408	11223037	580659
EPM_12A4	2992107	3571363	44521
EPM_13A1	9075673	1634345	264389
EPM_13A2	6925372	7491311	276892
EPM_13A3	5864709	7536797	306275
EPM_13A4	6409855	9136507	335578
EPM_14A1	7076078	9194119	608295
EPM_14A2	8792161	11472253	729207
EPM_14A3	10852916	14783013	1123895
EPM_14A4	8416367	10237261	573591
EPR_10A	9217424	11028229	610754
EPR_10B	9744978	11652824	639359
EPR_11A	10487586	14062898	947193
EPR_11B	8986966	11364084	847895
EPR_11C	8072218	10207966	616329
EPR_13B	6995523	8810495	407360
EPR_13C	7770076	10035783	560507
EPR_14B	10123978	13307172	786678
EPR_14C	8653771	11111993	593640
EPR_14E	9992544	13595391	904519
EPR_15A	10205814	13911396	1103319
EPR_15B	8217342	10525237	612071
EPR_8A	8327850	10049964	540821
EPR_8B	9170961	10653422	667531
EPR_9A	7405372	9443698	433449
EPR_9B	8958737	11194247	631996
WAM_ALR	7449680	10634344	615151
WAM_CCR	6890488	8698375	494718
WAM_IPI	9227904	11525234	713736
WAM_MAR	10588943	13571034	1078508
WAM_MYS	6743554	8315433	772550
WAM_PBL	6623964	8862158	813100
WAM_PJN	13508832	14184982	1020650
WAM_PPR	8348901	10309309	883166
WAM_PST	7817701	10298900	544657
WAM_ROL	8059005	10449788	747828
WAM_SCR	9562500	12970011	946751
WAM_SGN	8944661	11277533	702673
WAM_SIS	9508412	13748595	1183918
WAM_TWN	8083251	6867309	578233
WAR_ALR	7869865	10505206	604208
WAR_CCR	9693142	11784159	590699
WAR_IPI	7973478	9862193	577262
WAR_MAR	8262255	11977523	604275
WAR_MYS	9416710	11834390	765156
WAR_PBL	8894064	11633228	610907
WAR_PJN	11876145	15559644	925151
WAR_PPR	8500882	11445743	657431
WAR_PSK	8298411	10383411	655247
WAR_PST	11621129	15641285	981078
WAR_RNW	7868878	10219994	566856
WAR_ROL	9552295	13529233	778865
WAR_SCR	9040938	13402186	769449
WAR_SGL	7693628	10314435	520545
WAR_SIS	7649116	11588317	674994
